from,to
2015,Nokia
2015,OEM
2015,Office
2015,Office Commercial
2015,Office Consumer
2015,OneDrive
2015,OneDrive Skype
2015,Online Services Division
2015,Open Programs
2015,Oracle
2015,PHP
2015,Premier Support Services
2015,SAP
2015,SEC
2015,Samsung
2015,Select Plus
2015,Select Plus Program
2015,SharePoint
2015,Skype
2015,Skype Business
2015,Sony
2015,Xbox
2015,Xbox Live
2015,Yahoo
2016,Amazon
2016,Antitrust Compliance Office
2016,Apple
2016,Bing
2016,Board Directors
2016,Business Development
2016,CA Technologies
2016,Cisco Systems
2016,Commission
2016,Dell
2016,EU
2016,Enterprise Services
2016,Exchange
2016,Facebook
2016,General Counsel
2016,Google
2016,IBM
2016,Investor Relations
2016,LinkedIn
2016,Linux
2016,MPSA
2016,MSN
2016,Microsoft
2016,Microsoft Consulting Services
2016,Microsoft Europe
2016,Microsoft Global Sales
2016,Microsoft Office
2016,Microsoft Research
2016,Minecraft
2016,Nintendo
2016,Nokia
2016,OEM
2016,Office
2016,Office Commercial
2016,Office Consumer
2016,Office Consumer Services
2016,OneDrive
2016,OneDrive Skype
2016,Oracle
2016,PHP
2016,Premier Support Services
2016,SAP
2016,SEC
2016,Select Plus
2016,SharePoint
2016,Skype
2016,Skype Business
2016,Software Assurance
2016,Sony
2016,System Center
2017,AI
2017,AOL
2017,Amazon
2017,Antitrust Compliance Office
2017,Apple
2017,Bing
2017,Business Development
2017,CA Technologies
2017,Cisco Systems
2017,Commission
2017,Dynamics
2017,ERP
2017,EU
2017,Facebook
2017,GDPR
2017,General Counsel
2017,Google
2017,IBM
2017,Investor Relations
2017,Learning Development
2017,LinkedIn
2017,LinkedIn Corporation
2017,Linux
2017,MSN
2017,Marketing Consumer Business
2017,Marketing Solutions
2017,Microsoft
2017,Microsoft Azure
2017,Microsoft Consulting Services
2017,Microsoft Europe
2017,Microsoft Global Sales
2017,Microsoft Office
2017,Microsoft Research
2017,Microsoft SQL Server
2017,Microsoft Teams
2017,Nintendo
2017,OEM
2017,Office
2017,Office Commercial
2017,Office Consumer Services
2017,OneDrive
2017,Oracle
2017,PHP
2017,Premier Support Services
2017,Premium Subscriptions
2017,SAP
2017,SEC
2017,Sales Solutions
2017,Select Plus
2017,SharePoint
2017,Skype
2017,Software Assurance
2017,Sony
2017,System Center
2017,Talent Solutions Marketing Solutions
2017,Visual Studio
2017,Xbox
2018,AI
2018,Amazon
2018,Antitrust Compliance Office
2018,Apple
2018,Bing
2018,Board Directors
2018,Business Development
2018,CA Technologies
2018,Cisco Systems
2018,Commission
2018,ERP
2018,EU
2018,Enterprise Mobility Security
2018,Facebook
2018,GDPR
2018,General Counsel
2018,GitHub Inc
2018,Google
2018,IBM
2018,Investor Relations
2018,IoT
2018,Learning Development
2018,LinkedIn
2018,Linux
2018,MSN
2018,Marketing Consumer Business
2018,Marketing Solutions
2018,Microsoft
2018,Microsoft Azure
2018,Microsoft Consulting Services
2018,Microsoft Europe
2018,Microsoft Global Sales
2018,Microsoft Office
2018,Microsoft Research
2018,Microsoft SQL Server
2018,Microsoft Surface
2018,Microsoft Teams
2018,Mixer
2018,Nintendo
2018,OEM
2018,Office
2018,Office Commercial
2018,Office Consumer Services
2018,OneDrive
2018,Oracle
2018,PHP
2018,Premier Support Services
2018,Premium Subscriptions
2018,SA
2018,SAP
2018,SEC
2018,Sales Solutions
2018,Securities Exchange Commission
2018,Select Plus
2018,SharePoint
2018,Skype
2018,Software Assurance
2018,Sony
2018,Surface
2018,Talent Solutions Marketing Solutions
2018,Xbox
2019,AI
2019,Amazon
